step,layer,mean_acc,mean_acc_pct,best_layer_at_step,best_acc_at_step,best_acc_at_step_pct,num_datasets,resize_mode,classifier
0,0,0.5196519360,51.9652,8,0.6698306290,66.9831,128,interp512,rf
0,1,0.6312909128,63.1291,8,0.6698306290,66.9831,128,interp512,rf
0,2,0.6490248443,64.9025,8,0.6698306290,66.9831,128,interp512,rf
0,3,0.6476727018,64.7673,8,0.6698306290,66.9831,128,interp512,rf
0,4,0.6527379984,65.2738,8,0.6698306290,66.9831,128,interp512,rf
0,5,0.6534787229,65.3479,8,0.6698306290,66.9831,128,interp512,rf
0,6,0.6520048686,65.2005,8,0.6698306290,66.9831,128,interp512,rf
0,7,0.6556353258,65.5635,8,0.6698306290,66.9831,128,interp512,rf
0,8,0.6698306290,66.9831,8,0.6698306290,66.9831,128,interp512,rf
1000,0,0.6010990904,60.1099,6,0.7583028535,75.8303,128,interp512,rf
1000,1,0.6633998838,66.3400,6,0.7583028535,75.8303,128,interp512,rf
1000,2,0.7030140615,70.3014,6,0.7583028535,75.8303,128,interp512,rf
1000,3,0.7325319908,73.2532,6,0.7583028535,75.8303,128,interp512,rf
1000,4,0.7400640616,74.0064,6,0.7583028535,75.8303,128,interp512,rf
1000,5,0.7479732702,74.7973,6,0.7583028535,75.8303,128,interp512,rf
1000,6,0.7583028535,75.8303,6,0.7583028535,75.8303,128,interp512,rf
1000,7,0.7542461189,75.4246,6,0.7583028535,75.8303,128,interp512,rf
1000,8,0.7378049969,73.7805,6,0.7583028535,75.8303,128,interp512,rf
2000,0,0.5877965571,58.7797,6,0.7601967224,76.0197,128,interp512,rf
2000,1,0.6777635475,67.7764,6,0.7601967224,76.0197,128,interp512,rf
2000,2,0.7183668512,71.8367,6,0.7601967224,76.0197,128,interp512,rf
2000,3,0.7480272936,74.8027,6,0.7601967224,76.0197,128,interp512,rf
2000,4,0.7533728825,75.3373,6,0.7601967224,76.0197,128,interp512,rf
