signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.804,7,0.862,8,0.059,0.299,0.516,7,0.625,8,0.109,0.225
gaussian_noise,0.809,4,0.894,7,0.085,0.444,0.457,6,0.516,5,0.059,0.108
uniform_noise,0.819,3,0.906,7,0.087,0.479,0.464,4,0.546,8,0.082,0.154
random_walk_noise,0.904,8,0.994,8,0.090,0.939,0.723,8,0.981,8,0.258,0.932
linear_trend,0.732,7,0.838,8,0.106,0.394,0.328,8,0.549,8,0.222,0.330
quadratic_trend,0.720,8,0.831,8,0.111,0.397,0.285,4,0.521,7,0.236,0.330
log_trend,0.820,8,0.958,8,0.137,0.764,0.498,8,0.907,8,0.409,0.815
sigmoid_trend,0.719,6,0.815,8,0.095,0.339,0.288,6,0.534,8,0.245,0.345
sine,0.934,2,0.991,8,0.057,0.865,0.842,2,0.977,8,0.134,0.852
sawtooth,0.964,7,0.997,7,0.033,0.917,0.925,4,0.991,7,0.065,0.874
square,0.921,8,0.997,8,0.075,0.957,0.777,8,0.990,8,0.213,0.954
spike,0.726,8,0.823,6,0.097,0.355,0.395,8,0.502,6,0.107,0.177
level_change,0.707,4,0.795,8,0.088,0.302,0.421,4,0.566,8,0.145,0.251
gaussian,0.727,6,0.810,7,0.083,0.304,0.398,8,0.551,7,0.153,0.254
