target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,0,0.041,0,0.000,-0.000,0.175,0,0.175,0,0.000,-0.000,0.015,2,0.014,7,-0.001,-0.001,-0.000,0,-0.000,0,-0.000,-0.000
spike_amplitude,spike,magnitude,0.013,0,0.013,0,-0.000,0.000,0.100,0,0.100,0,-0.000,0.000,0.015,4,0.013,7,-0.002,-0.002,-0.000,0,-0.000,0,0.000,0.000
level_change_time_frac,level_change,time_frac,0.032,7,0.034,4,0.002,-0.056,0.144,7,0.146,4,0.002,-0.013,0.454,5,0.438,4,-0.016,-0.030,0.199,7,0.155,4,-0.045,-0.056
level_change_amplitude,level_change,magnitude,0.180,8,0.085,7,-0.095,0.527,0.315,8,0.211,8,-0.105,0.332,0.683,8,0.868,8,0.185,0.582,0.458,8,0.744,7,0.286,0.527
gaussian_time_frac,gaussian,time_frac,0.041,0,0.041,0,-0.001,0.016,0.175,1,0.175,0,-0.001,0.005,0.018,2,0.034,5,0.016,0.016,-0.018,0,-0.001,0,0.017,0.016
gaussian_amplitude,gaussian,magnitude,0.304,7,0.172,6,-0.132,0.434,0.469,7,0.323,8,-0.146,0.311,0.293,7,0.694,6,0.401,0.567,0.081,7,0.479,6,0.399,0.434
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.001,0.013,0,0.013,0,0.000,-0.000,0.095,3,0.161,4,0.065,0.072,-0.001,0,-0.001,0,-0.001,-0.001
gaussian_noise_std,gaussian_noise,std,0.001,5,0.001,3,-0.000,0.293,0.024,5,0.020,3,-0.004,0.170,0.609,5,0.760,3,0.151,0.387,0.340,5,0.533,3,0.193,0.293
uniform_noise_amplitude,uniform_noise,std,0.002,5,0.002,3,-0.000,0.107,0.035,5,0.032,7,-0.003,0.078,0.624,5,0.731,7,0.107,0.285,0.386,5,0.452,3,0.066,0.107
random_walk_step_std,random_walk_noise,std,0.000,5,0.000,5,-0.000,0.315,0.012,5,0.010,5,-0.002,0.187,0.697,7,0.820,5,0.123,0.405,0.419,5,0.602,5,0.183,0.315
