signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.784,7,0.884,8,0.101,0.465,0.557,7,0.738,8,0.182,0.410
gaussian_noise,0.742,6,0.824,7,0.082,0.318,0.053,5,0.073,5,0.019,0.020
uniform_noise,0.914,8,0.972,7,0.057,0.672,0.846,8,0.933,7,0.087,0.566
random_walk_noise,0.920,8,0.995,8,0.076,0.943,0.858,8,0.989,8,0.132,0.924
linear_trend,0.683,7,0.800,7,0.117,0.369,0.410,7,0.615,8,0.205,0.348
quadratic_trend,0.669,5,0.824,8,0.155,0.468,0.412,8,0.650,7,0.238,0.405
log_trend,0.722,4,0.900,8,0.178,0.641,0.018,8,0.568,8,0.550,0.560
sigmoid_trend,0.694,8,0.773,8,0.079,0.257,0.409,8,0.581,8,0.172,0.291
sine,0.932,1,0.985,8,0.053,0.785,0.889,1,0.971,8,0.082,0.736
sawtooth,0.958,6,0.997,8,0.039,0.932,0.937,5,0.994,8,0.057,0.904
square,0.847,8,0.980,8,0.132,0.866,0.193,7,0.812,8,0.619,0.767
spike,0.745,8,0.817,6,0.073,0.284,0.087,8,0.122,6,0.035,0.039
level_change,0.629,8,0.749,8,0.119,0.321,0.012,8,0.081,8,0.069,0.070
gaussian,0.749,5,0.820,6,0.071,0.283,0.072,8,0.252,7,0.180,0.194
