target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,0,0.040,0,-0.001,0.017,0.172,0,0.172,0,-0.001,0.004,0.077,3,0.071,8,-0.006,-0.006,-0.032,0,-0.014,0,0.017,0.017
spike_amplitude,spike,magnitude,0.013,0,0.013,0,-0.000,0.008,0.097,0,0.096,0,-0.000,0.003,0.047,3,0.009,8,-0.038,-0.040,-0.016,0,-0.009,0,0.008,0.008
level_change_time_frac,level_change,time_frac,0.039,0,0.039,0,-0.000,0.002,0.170,0,0.170,0,0.000,-0.000,0.213,7,0.147,3,-0.066,-0.084,-0.007,0,-0.005,0,0.002,0.002
level_change_amplitude,level_change,magnitude,0.239,1,0.247,1,0.008,-0.035,0.375,5,0.400,4,0.025,-0.066,0.551,8,0.640,8,0.089,0.199,0.242,1,0.215,1,-0.027,-0.035
gaussian_time_frac,gaussian,time_frac,0.037,0,0.037,0,-0.000,0.003,0.165,0,0.165,0,0.000,-0.001,0.028,5,0.097,7,0.069,0.071,-0.003,0,-0.000,0,0.003,0.003
gaussian_amplitude,gaussian,magnitude,0.336,0,0.256,3,-0.080,0.238,0.508,0,0.404,5,-0.104,0.204,0.108,4,0.608,5,0.500,0.561,-0.001,0,0.238,3,0.238,0.238
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.031,0.013,0,0.013,0,0.000,-0.005,0.087,2,0.102,4,0.015,0.016,-0.000,0,-0.031,0,-0.031,-0.031
gaussian_noise_std,gaussian_noise,std,0.001,0,0.001,0,0.000,-0.001,0.033,0,0.033,0,0.000,-0.000,0.141,8,0.221,1,0.080,0.093,-0.001,0,-0.001,0,-0.001,-0.001
uniform_noise_amplitude,uniform_noise,std,0.002,5,0.001,7,-0.000,0.127,0.031,8,0.030,7,-0.002,0.056,0.711,8,0.776,8,0.065,0.225,0.501,5,0.564,7,0.064,0.127
random_walk_step_std,random_walk_noise,std,0.000,4,0.000,6,-0.000,0.436,0.011,4,0.008,6,-0.003,0.268,0.760,5,0.858,6,0.098,0.409,0.528,4,0.734,6,0.206,0.436
linear_trend_slope,linear_trend,slope,1.146,7,0.839,8,-0.306,0.267,0.913,7,0.735,8,-0.178,0.195,0.391,7,0.613,8,0.222,0.365,0.140,7,0.370,8,0.230,0.267
linear_trend_intercept,linear_trend,intercept,0.050,5,0.046,8,-0.004,0.070,0.174,4,0.166,8,-0.008,0.047,0.639,5,0.672,8,0.033,0.091,0.407,5,0.449,8,0.042,0.070
quadratic_trend_a,quadratic_trend,a,3.279,8,1.244,8,-2.034,0.620,1.426,8,0.796,8,-0.630,0.442,0.621,8,0.879,8,0.258,0.681,0.382,8,0.765,8,0.384,0.620
quadratic_trend_b,quadratic_trend,slope,1.190,7,0.931,6,-0.259,0.218,0.933,7,0.798,6,-0.134,0.144,0.341,8,0.559,6,0.218,0.331,0.111,7,0.305,6,0.194,0.218
quadratic_trend_c,quadratic_trend,intercept,0.053,4,0.050,8,-0.003,0.059,0.183,4,0.177,8,-0.006,0.034,0.606,4,0.636,8,0.030,0.077,0.364,4,0.402,8,0.037,0.059
log_trend_amplitude,log_trend,amplitude,0.266,8,0.136,8,-0.130,0.490,0.362,8,0.271,8,-0.091,0.252,0.908,7,0.958,6,0.050,0.543,0.815,8,0.906,8,0.090,0.490
log_trend_offset,log_trend,offset,0.076,2,0.086,0,0.010,-0.128,0.232,2,0.247,1,0.015,-0.064,0.379,5,0.400,3,0.021,0.034,0.113,2,-0.000,0,-0.113,-0.128
sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.601,8,0.406,8,-0.194,0.323,0.591,7,0.470,7,-0.122,0.206,0.746,8,0.835,8,0.089,0.350,0.550,8,0.696,8,0.145,0.323
sigmoid_trend_center,sigmoid_trend,center,0.027,8,0.026,7,-0.001,0.044,0.139,6,0.134,7,-0.005,0.033,0.336,8,0.379,7,0.043,0.065,0.098,8,0.138,7,0.040,0.044
sigmoid_trend_sharpness,sigmoid_trend,sharpness,18.663,8,18.075,8,-0.588,0.032,3.735,8,3.647,8,-0.089,0.024,0.111,8,0.218,7,0.107,0.121,0.012,8,0.043,8,0.031,0.032
sigmoid_trend_offset,sigmoid_trend,offset,0.067,8,0.062,6,-0.005,0.075,0.213,8,0.199,7,-0.014,0.067,0.447,8,0.525,7,0.078,0.141,0.196,8,0.256,6,0.060,0.075
sine_amplitude,sine,amplitude,0.024,8,0.018,8,-0.007,0.276,0.109,7,0.093,8,-0.016,0.150,0.844,8,0.887,8,0.043,0.278,0.705,8,0.786,8,0.081,0.276
