signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.801,7,0.830,8,0.029,0.148,0.516,7,0.599,8,0.083,0.172
gaussian_noise,0.800,8,0.891,5,0.091,0.456,0.448,6,0.511,8,0.063,0.114
uniform_noise,0.826,8,0.906,7,0.081,0.463,0.466,8,0.520,5,0.054,0.102
random_walk_noise,0.915,8,0.993,8,0.078,0.918,0.740,8,0.980,8,0.239,0.922
linear_trend,0.732,7,0.829,6,0.097,0.361,0.335,8,0.564,8,0.230,0.345
quadratic_trend,0.718,7,0.804,6,0.086,0.304,0.282,5,0.405,8,0.122,0.171
log_trend,0.832,8,0.932,7,0.100,0.593,0.481,8,0.828,8,0.347,0.670
sigmoid_trend,0.714,8,0.800,7,0.086,0.301,0.267,8,0.496,6,0.229,0.313
sine,0.929,5,0.992,8,0.063,0.885,0.866,8,0.977,8,0.110,0.826
sawtooth,0.965,5,0.998,7,0.033,0.936,0.929,4,0.993,7,0.064,0.907
square,0.933,8,0.996,5,0.063,0.943,0.832,8,0.986,8,0.154,0.917
spike,0.742,8,0.812,6,0.070,0.271,0.398,5,0.500,6,0.102,0.170
level_change,0.711,7,0.770,6,0.059,0.205,0.422,8,0.507,6,0.085,0.148
gaussian,0.732,8,0.802,8,0.070,0.262,0.396,8,0.506,6,0.110,0.183
