target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,0,0.041,0,0.000,-0.001,0.175,0,0.175,0,0.000,-0.000,0.013,0,0.019,5,0.006,0.007,-0.010,0,-0.011,0,-0.001,-0.001
spike_amplitude,spike,magnitude,0.013,0,0.014,0,0.001,-0.045,0.100,0,0.101,0,0.002,-0.015,0.015,7,0.011,2,-0.004,-0.004,-0.011,0,-0.056,0,-0.045,-0.045
level_change_time_frac,level_change,time_frac,0.034,3,0.035,1,0.001,-0.037,0.148,8,0.148,2,0.000,-0.001,0.404,8,0.415,2,0.011,0.019,0.148,3,0.117,1,-0.031,-0.037
level_change_amplitude,level_change,magnitude,0.170,4,0.079,7,-0.091,0.533,0.305,4,0.203,7,-0.103,0.337,0.700,4,0.880,7,0.179,0.598,0.486,4,0.760,7,0.274,0.533
gaussian_time_frac,gaussian,time_frac,0.041,0,0.042,0,0.001,-0.014,0.175,0,0.176,0,0.001,-0.005,0.010,0,0.025,7,0.015,0.015,-0.009,0,-0.023,0,-0.014,-0.014
gaussian_amplitude,gaussian,magnitude,0.304,7,0.164,6,-0.140,0.460,0.467,7,0.310,7,-0.157,0.337,0.298,7,0.710,6,0.412,0.587,0.081,7,0.503,6,0.422,0.460
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.142,0.013,0,0.013,0,0.001,-0.045,0.061,6,0.107,4,0.046,0.049,-0.044,0,-0.192,0,-0.148,-0.142
gaussian_noise_std,gaussian_noise,std,0.001,8,0.001,5,-0.000,0.359,0.028,8,0.022,5,-0.006,0.226,0.530,8,0.714,5,0.184,0.391,0.125,8,0.439,5,0.314,0.359
uniform_noise_amplitude,uniform_noise,std,0.003,6,0.002,2,-0.001,0.360,0.042,6,0.031,2,-0.010,0.247,0.512,5,0.735,2,0.223,0.458,0.156,6,0.460,2,0.304,0.360
random_walk_step_std,random_walk_noise,std,0.000,3,0.000,2,0.000,-0.132,0.013,3,0.014,6,0.000,-0.024,0.653,7,0.739,8,0.085,0.246,0.336,3,0.249,2,-0.088,-0.132
linear_trend_slope,linear_trend,slope,0.946,5,0.619,7,-0.327,0.346,0.806,5,0.609,7,-0.197,0.244,0.550,7,0.735,7,0.185,0.412,0.293,5,0.537,7,0.244,0.346
linear_trend_intercept,linear_trend,intercept,0.045,5,0.039,7,-0.006,0.124,0.160,2,0.151,7,-0.009,0.056,0.682,5,0.737,6,0.055,0.173,0.464,5,0.530,7,0.066,0.124
quadratic_trend_a,quadratic_trend,a,3.000,8,1.142,8,-1.858,0.619,1.376,8,0.804,8,-0.572,0.416,0.661,8,0.888,8,0.227,0.670,0.436,8,0.785,8,0.349,0.619
