signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.772,7,0.851,4,0.079,0.346,0.374,7,0.645,4,0.271,0.433
gaussian_noise,0.770,8,0.927,4,0.157,0.683,0.405,8,0.583,7,0.178,0.299
uniform_noise,0.778,8,0.935,3,0.156,0.705,0.415,8,0.601,3,0.186,0.318
random_walk_noise,0.900,5,0.999,3,0.099,0.989,0.652,5,0.995,3,0.343,0.987
linear_trend,0.761,4,0.833,5,0.071,0.299,0.340,8,0.530,5,0.190,0.288
quadratic_trend,0.756,6,0.849,4,0.093,0.382,0.347,7,0.603,4,0.256,0.392
log_trend,0.916,8,0.985,4,0.069,0.819,0.715,8,0.968,4,0.253,0.888
sigmoid_trend,0.761,3,0.863,4,0.102,0.427,0.340,6,0.649,4,0.309,0.469
sine,0.937,8,0.999,6,0.061,0.976,0.846,8,0.995,5,0.150,0.970
sawtooth,0.942,2,1.000,3,0.058,0.994,0.875,2,0.999,3,0.124,0.991
square,0.911,8,1.000,5,0.089,0.997,0.740,8,0.999,4,0.260,0.997
spike,0.692,4,0.855,2,0.162,0.527,0.353,4,0.534,2,0.181,0.280
level_change,0.658,3,0.834,3,0.176,0.515,0.306,7,0.608,4,0.302,0.435
gaussian,0.675,6,0.875,4,0.199,0.614,0.356,3,0.621,5,0.265,0.412
