target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,0,0.035,8,-0.006,0.144,0.175,0,0.152,7,-0.023,0.134,0.135,3,0.406,7,0.271,0.313,-0.006,0,0.139,8,0.145,0.144
spike_amplitude,spike,magnitude,0.013,0,0.013,8,0.000,-0.006,0.100,0,0.100,8,0.000,-0.003,0.026,4,0.043,3,0.017,0.017,-0.010,0,-0.016,8,-0.006,-0.006
level_change_time_frac,level_change,time_frac,0.038,5,0.025,5,-0.013,0.342,0.164,5,0.121,7,-0.044,0.265,0.287,6,0.633,5,0.345,0.485,0.048,5,0.374,5,0.326,0.342
level_change_amplitude,level_change,magnitude,0.162,4,0.064,4,-0.098,0.605,0.301,4,0.180,3,-0.121,0.401,0.718,4,0.900,4,0.182,0.645,0.512,4,0.807,4,0.295,0.605
gaussian_time_frac,gaussian,time_frac,0.041,0,0.031,7,-0.010,0.248,0.172,2,0.138,7,-0.033,0.195,0.195,2,0.506,7,0.311,0.386,-0.007,0,0.243,7,0.250,0.248
gaussian_amplitude,gaussian,magnitude,0.318,2,0.237,3,-0.081,0.254,0.478,2,0.390,3,-0.088,0.184,0.231,2,0.533,3,0.302,0.392,0.038,2,0.282,3,0.244,0.254
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.196,0.013,0,0.014,0,0.001,-0.056,0.040,8,0.160,6,0.120,0.125,-0.091,0,-0.305,0,-0.214,-0.196
gaussian_noise_std,gaussian_noise,std,0.001,0,0.000,8,-0.001,0.799,0.032,1,0.012,8,-0.020,0.617,0.310,1,0.896,7,0.586,0.850,-0.046,0,0.789,8,0.836,0.799
uniform_noise_amplitude,uniform_noise,std,0.003,1,0.001,7,-0.003,0.786,0.048,1,0.020,7,-0.028,0.584,0.335,1,0.901,4,0.566,0.852,-0.015,1,0.783,7,0.798,0.786
random_walk_step_std,random_walk_noise,std,0.000,5,0.000,4,-0.000,0.817,0.014,5,0.006,4,-0.009,0.599,0.528,5,0.934,4,0.406,0.860,0.210,5,0.855,4,0.645,0.817
linear_trend_slope,linear_trend,slope,0.369,8,0.230,3,-0.139,0.376,0.428,8,0.340,3,-0.088,0.206,0.851,8,0.910,3,0.059,0.397,0.724,8,0.828,3,0.104,0.376
linear_trend_intercept,linear_trend,intercept,0.046,7,0.038,7,-0.008,0.168,0.162,5,0.146,6,-0.015,0.095,0.677,7,0.754,7,0.077,0.237,0.452,7,0.544,7,0.092,0.168
quadratic_trend_a,quadratic_trend,a,2.524,8,1.048,3,-1.476,0.585,1.216,8,0.728,3,-0.488,0.402,0.725,8,0.897,3,0.171,0.624,0.526,8,0.803,3,0.277,0.585
quadratic_trend_b,quadratic_trend,slope,0.497,8,0.306,3,-0.191,0.384,0.515,8,0.396,3,-0.120,0.233,0.792,8,0.878,3,0.086,0.411,0.627,8,0.770,3,0.143,0.384
quadratic_trend_c,quadratic_trend,intercept,0.047,7,0.040,5,-0.007,0.152,0.168,7,0.150,5,-0.018,0.105,0.661,7,0.725,5,0.063,0.187,0.437,7,0.522,5,0.085,0.152
log_trend_amplitude,log_trend,amplitude,0.126,8,0.017,3,-0.109,0.865,0.266,6,0.095,3,-0.171,0.642,0.952,8,0.994,3,0.041,0.866,0.905,8,0.987,3,0.082,0.865
log_trend_offset,log_trend,offset,0.056,8,0.043,5,-0.013,0.227,0.187,8,0.157,5,-0.030,0.161,0.577,8,0.698,5,0.121,0.286,0.331,8,0.483,5,0.152,0.227
sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.384,8,0.224,3,-0.160,0.417,0.436,8,0.331,3,-0.105,0.241,0.844,8,0.912,3,0.068,0.438,0.712,8,0.832,3,0.120,0.417
sigmoid_trend_center,sigmoid_trend,center,0.027,6,0.019,4,-0.008,0.296,0.137,7,0.105,4,-0.032,0.234,0.334,5,0.629,4,0.295,0.443,0.105,6,0.370,4,0.265,0.296
sigmoid_trend_sharpness,sigmoid_trend,sharpness,18.885,0,15.073,4,-3.812,0.202,3.764,6,3.226,4,-0.538,0.143,0.049,8,0.451,4,0.402,0.423,-0.001,0,0.201,4,0.202,0.202
sigmoid_trend_offset,sigmoid_trend,offset,0.048,8,0.044,4,-0.004,0.075,0.169,8,0.161,4,-0.008,0.046,0.657,8,0.695,6,0.038,0.111,0.429,8,0.472,4,0.043,0.075
sine_amplitude,sine,amplitude,0.022,8,0.006,4,-0.016,0.711,0.109,8,0.055,4,-0.054,0.496,0.859,8,0.964,2,0.105,0.745,0.733,8,0.923,4,0.190,0.711
sine_frequency_hz,sine,frequency_hz,0.968,8,0.089,7,-0.879,0.908,0.725,8,0.182,5,-0.542,0.748,0.812,8,0.985,7,0.173,0.920,0.654,8,0.968,7,0.314,0.908
sine_phase,sine,phase,2.149,8,2.036,4,-0.113,0.053,1.124,8,1.052,4,-0.071,0.064,0.591,8,0.619,4,0.028,0.070,0.349,8,0.383,4,0.034,0.053
