signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.743,8,0.875,4,0.132,0.515,0.457,6,0.708,4,0.250,0.461
gaussian_noise,0.702,6,0.896,3,0.195,0.653,0.048,1,0.120,3,0.072,0.076
uniform_noise,0.855,8,0.997,3,0.142,0.980,0.723,8,0.983,2,0.261,0.940
random_walk_noise,0.913,6,1.000,3,0.087,0.999,0.816,6,1.000,3,0.184,0.999
linear_trend,0.715,5,0.816,6,0.101,0.355,0.441,5,0.587,7,0.146,0.262
quadratic_trend,0.718,8,0.841,5,0.123,0.436,0.481,7,0.686,4,0.204,0.394
log_trend,0.873,8,0.969,6,0.096,0.756,0.110,8,0.877,6,0.767,0.862
sigmoid_trend,0.703,8,0.854,4,0.152,0.511,0.417,8,0.728,5,0.312,0.534
sine,0.938,5,0.999,3,0.061,0.985,0.902,8,0.998,3,0.096,0.979
sawtooth,0.938,7,1.000,4,0.062,0.999,0.904,8,1.000,5,0.095,0.998
square,0.831,3,0.999,7,0.168,0.992,0.138,8,0.989,5,0.851,0.987
spike,0.693,7,0.916,4,0.222,0.725,0.047,1,0.264,4,0.217,0.228
level_change,0.621,6,0.850,5,0.229,0.605,0.016,6,0.143,5,0.127,0.129
gaussian,0.706,8,0.887,6,0.181,0.615,0.052,3,0.156,5,0.104,0.110
