target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.045,0,0.056,8,0.011,-0.248,0.175,0,0.197,8,0.022,-0.123,0.193,2,0.241,4,0.047,0.059,-0.124,0,-0.403,8,-0.278,-0.248
spike_amplitude,spike,magnitude,0.015,0,0.016,8,0.001,-0.065,0.101,0,0.106,8,0.005,-0.046,0.105,0,0.068,2,-0.037,-0.041,-0.204,0,-0.283,8,-0.078,-0.065
level_change_time_frac,level_change,time_frac,0.044,0,0.037,8,-0.007,0.159,0.176,0,0.164,8,-0.012,0.069,0.154,2,0.293,5,0.139,0.164,-0.132,0,0.048,8,0.180,0.159
level_change_amplitude,level_change,magnitude,0.224,0,0.180,6,-0.044,0.197,0.375,4,0.337,6,-0.039,0.103,0.643,4,0.723,4,0.080,0.225,0.288,0,0.428,6,0.140,0.197
gaussian_time_frac,gaussian,time_frac,0.041,0,0.046,8,0.005,-0.121,0.170,0,0.179,8,0.009,-0.054,0.059,6,0.249,7,0.190,0.202,-0.118,0,-0.253,8,-0.135,-0.121
gaussian_amplitude,gaussian,magnitude,0.359,0,0.370,8,0.011,-0.030,0.519,0,0.517,8,-0.002,0.005,0.073,4,0.304,3,0.231,0.249,-0.071,0,-0.103,8,-0.032,-0.030
gaussian_sigma_sec,gaussian,sigma_sec,0.001,0,0.002,8,0.002,-2.033,0.018,0,0.036,0,0.018,-0.963,0.086,2,0.069,8,-0.016,-0.018,-2.428,0,-9.397,8,-6.969,-2.033
gaussian_noise_std,gaussian_noise,std,0.002,0,0.001,8,-0.001,0.659,0.037,0,0.022,8,-0.016,0.419,0.114,8,0.728,8,0.614,0.693,-0.585,0,0.459,8,1.044,0.659
uniform_noise_amplitude,uniform_noise,std,0.003,4,0.000,3,-0.003,0.941,0.043,4,0.009,3,-0.033,0.782,0.460,4,0.976,3,0.516,0.956,0.188,4,0.952,3,0.764,0.941
random_walk_step_std,random_walk_noise,std,0.000,3,0.000,3,-0.000,0.892,0.014,3,0.004,3,-0.009,0.673,0.602,5,0.970,3,0.368,0.926,0.298,3,0.924,3,0.626,0.892
linear_trend_slope,linear_trend,slope,0.422,8,0.284,4,-0.138,0.327,0.476,8,0.376,3,-0.100,0.210,0.827,8,0.892,3,0.064,0.373,0.683,8,0.787,4,0.104,0.327
linear_trend_intercept,linear_trend,intercept,0.050,8,0.044,6,-0.006,0.123,0.175,4,0.162,6,-0.013,0.076,0.637,8,0.693,6,0.056,0.155,0.405,8,0.478,6,0.073,0.123
quadratic_trend_a,quadratic_trend,a,2.481,8,0.945,3,-1.536,0.619,1.238,8,0.683,3,-0.555,0.448,0.731,8,0.907,3,0.175,0.652,0.532,8,0.822,3,0.290,0.619
quadratic_trend_b,quadratic_trend,slope,0.525,8,0.343,3,-0.182,0.347,0.545,8,0.422,3,-0.122,0.225,0.780,8,0.863,3,0.083,0.377,0.608,8,0.744,3,0.136,0.347
