signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.772,7,0.826,4,0.054,0.235,0.374,7,0.545,3,0.171,0.273
gaussian_noise,0.770,8,0.929,2,0.159,0.691,0.405,8,0.611,2,0.206,0.346
uniform_noise,0.778,8,0.937,2,0.159,0.716,0.415,8,0.610,2,0.195,0.334
random_walk_noise,0.900,5,0.997,4,0.097,0.973,0.652,5,0.992,4,0.340,0.976
linear_trend,0.761,4,0.772,3,0.010,0.043,0.340,8,0.386,4,0.046,0.070
quadratic_trend,0.756,6,0.815,4,0.059,0.241,0.347,7,0.463,4,0.116,0.178
log_trend,0.916,8,0.977,4,0.061,0.730,0.715,8,0.956,4,0.241,0.846
sigmoid_trend,0.761,3,0.839,4,0.078,0.325,0.340,6,0.572,4,0.232,0.351
sine,0.937,8,0.998,3,0.060,0.961,0.846,8,0.993,3,0.147,0.955
sawtooth,0.942,2,1.000,3,0.058,0.996,0.875,2,0.999,4,0.124,0.993
square,0.911,8,1.000,4,0.089,0.997,0.740,8,0.999,3,0.260,0.998
spike,0.692,4,0.839,4,0.147,0.477,0.353,4,0.495,4,0.142,0.220
level_change,0.658,3,0.839,4,0.181,0.529,0.306,7,0.594,4,0.289,0.416
gaussian,0.675,6,0.835,4,0.159,0.491,0.356,3,0.506,4,0.150,0.232
