target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,0,0.035,3,-0.006,0.137,0.175,0,0.158,3,-0.018,0.101,0.135,3,0.393,3,0.257,0.298,-0.006,0,0.132,3,0.138,0.137
spike_amplitude,spike,magnitude,0.013,0,0.013,8,-0.000,0.012,0.100,0,0.098,4,-0.001,0.014,0.026,4,0.141,4,0.115,0.118,-0.010,0,0.002,8,0.012,0.012
level_change_time_frac,level_change,time_frac,0.038,5,0.026,4,-0.013,0.328,0.164,5,0.123,4,-0.042,0.253,0.287,6,0.622,4,0.335,0.470,0.048,5,0.360,4,0.313,0.328
level_change_amplitude,level_change,magnitude,0.162,4,0.046,4,-0.116,0.715,0.301,4,0.152,4,-0.149,0.495,0.718,4,0.929,4,0.211,0.747,0.512,4,0.861,4,0.349,0.715
gaussian_time_frac,gaussian,time_frac,0.041,0,0.037,4,-0.004,0.099,0.172,2,0.161,4,-0.011,0.064,0.195,2,0.319,4,0.124,0.154,-0.007,0,0.093,4,0.100,0.099
gaussian_amplitude,gaussian,magnitude,0.318,2,0.220,3,-0.098,0.307,0.478,2,0.379,3,-0.099,0.207,0.231,2,0.591,3,0.359,0.468,0.038,2,0.334,3,0.295,0.307
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,8,-0.000,0.023,0.013,0,0.013,8,-0.000,0.010,0.040,8,0.183,4,0.142,0.148,-0.091,0,-0.066,8,0.025,0.023
gaussian_noise_std,gaussian_noise,std,0.001,0,0.000,6,-0.001,0.852,0.032,1,0.010,8,-0.022,0.685,0.310,1,0.922,7,0.612,0.887,-0.046,0,0.845,6,0.892,0.852
uniform_noise_amplitude,uniform_noise,std,0.003,1,0.001,5,-0.003,0.841,0.048,1,0.015,7,-0.033,0.689,0.335,1,0.920,5,0.585,0.879,-0.015,1,0.839,5,0.853,0.841
random_walk_step_std,random_walk_noise,std,0.000,5,0.000,7,-0.000,0.887,0.014,5,0.004,7,-0.010,0.693,0.528,5,0.959,8,0.431,0.913,0.210,5,0.911,7,0.701,0.887
linear_trend_slope,linear_trend,slope,0.369,8,0.213,3,-0.156,0.422,0.428,8,0.319,3,-0.109,0.255,0.851,8,0.918,3,0.066,0.446,0.724,8,0.841,3,0.116,0.422
linear_trend_intercept,linear_trend,intercept,0.046,7,0.037,5,-0.008,0.183,0.162,5,0.146,5,-0.016,0.096,0.677,7,0.744,5,0.067,0.209,0.452,7,0.553,5,0.100,0.183
quadratic_trend_a,quadratic_trend,a,2.524,8,1.066,4,-1.458,0.578,1.216,8,0.726,4,-0.489,0.403,0.725,8,0.894,4,0.169,0.616,0.526,8,0.800,4,0.274,0.578
quadratic_trend_b,quadratic_trend,slope,0.497,8,0.272,3,-0.224,0.452,0.515,8,0.367,3,-0.149,0.289,0.792,8,0.892,3,0.100,0.479,0.627,8,0.795,3,0.169,0.452
quadratic_trend_c,quadratic_trend,intercept,0.047,7,0.040,4,-0.007,0.152,0.168,7,0.150,5,-0.018,0.107,0.661,7,0.726,5,0.065,0.191,0.437,7,0.522,4,0.085,0.152
log_trend_amplitude,log_trend,amplitude,0.126,8,0.013,4,-0.113,0.898,0.266,6,0.080,4,-0.186,0.700,0.952,8,0.995,4,0.043,0.905,0.905,8,0.990,4,0.085,0.898
log_trend_offset,log_trend,offset,0.056,8,0.044,5,-0.012,0.214,0.187,8,0.164,4,-0.023,0.126,0.577,8,0.695,4,0.118,0.278,0.331,8,0.474,5,0.144,0.214
sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.384,8,0.228,4,-0.156,0.406,0.436,8,0.328,3,-0.108,0.248,0.844,8,0.911,3,0.067,0.430,0.712,8,0.829,4,0.117,0.406
sigmoid_trend_center,sigmoid_trend,center,0.027,6,0.023,4,-0.004,0.144,0.137,7,0.120,4,-0.017,0.126,0.334,5,0.509,4,0.176,0.264,0.105,6,0.233,4,0.128,0.144
