signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.743,8,0.837,3,0.094,0.365,0.457,6,0.604,3,0.147,0.270
gaussian_noise,0.702,6,0.880,5,0.179,0.599,0.048,1,0.056,7,0.008,0.008
uniform_noise,0.855,8,0.997,2,0.142,0.979,0.723,8,0.982,3,0.259,0.936
random_walk_noise,0.913,6,0.999,3,0.087,0.991,0.816,6,0.998,3,0.182,0.991
linear_trend,0.715,5,0.765,3,0.050,0.176,0.441,5,0.476,3,0.035,0.063
quadratic_trend,0.718,8,0.790,3,0.072,0.255,0.481,7,0.562,3,0.081,0.156
log_trend,0.873,8,0.971,3,0.098,0.771,0.110,8,0.882,3,0.772,0.868
sigmoid_trend,0.703,8,0.829,3,0.126,0.424,0.417,8,0.652,4,0.235,0.403
sine,0.938,5,0.998,3,0.060,0.968,0.902,8,0.996,3,0.094,0.956
sawtooth,0.938,7,1.000,3,0.062,0.994,0.904,8,0.999,3,0.095,0.993
square,0.831,3,0.995,7,0.164,0.971,0.138,8,0.964,3,0.826,0.959
spike,0.693,7,0.868,3,0.174,0.568,0.047,1,0.166,3,0.119,0.125
level_change,0.621,6,0.828,3,0.207,0.546,0.016,6,0.148,3,0.132,0.134
gaussian,0.706,8,0.847,3,0.141,0.480,0.052,3,0.114,3,0.062,0.065
