target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.045,0,0.039,6,-0.006,0.128,0.175,0,0.168,6,-0.007,0.040,0.193,2,0.312,4,0.118,0.147,-0.124,0,0.020,6,0.144,0.128
spike_amplitude,spike,magnitude,0.015,0,0.013,7,-0.002,0.153,0.101,0,0.097,7,-0.005,0.045,0.105,0,0.084,5,-0.021,-0.023,-0.204,0,-0.020,7,0.184,0.153
level_change_time_frac,level_change,time_frac,0.044,0,0.035,5,-0.009,0.203,0.176,0,0.151,5,-0.025,0.140,0.154,2,0.369,5,0.215,0.254,-0.132,0,0.098,5,0.230,0.203
level_change_amplitude,level_change,magnitude,0.224,0,0.113,4,-0.112,0.498,0.375,4,0.240,4,-0.135,0.360,0.643,4,0.809,3,0.166,0.465,0.288,0,0.643,4,0.355,0.498
gaussian_time_frac,gaussian,time_frac,0.041,0,0.037,8,-0.004,0.096,0.170,0,0.165,8,-0.005,0.032,0.059,6,0.157,3,0.098,0.104,-0.118,0,-0.011,8,0.107,0.096
gaussian_amplitude,gaussian,magnitude,0.359,0,0.337,7,-0.023,0.063,0.519,0,0.487,4,-0.033,0.063,0.073,4,0.217,3,0.144,0.155,-0.071,0,-0.004,7,0.067,0.063
gaussian_sigma_sec,gaussian,sigma_sec,0.001,0,0.000,8,-0.000,0.594,0.018,0,0.015,8,-0.004,0.205,0.086,2,0.087,5,0.001,0.001,-2.428,0,-0.393,8,2.035,0.594
gaussian_noise_std,gaussian_noise,std,0.002,0,0.000,6,-0.002,0.780,0.037,0,0.016,6,-0.022,0.576,0.114,8,0.840,7,0.726,0.819,-0.585,0,0.652,6,1.237,0.780
uniform_noise_amplitude,uniform_noise,std,0.003,4,0.000,5,-0.003,0.963,0.043,4,0.007,5,-0.036,0.844,0.460,4,0.985,5,0.525,0.972,0.188,4,0.970,5,0.782,0.963
random_walk_step_std,random_walk_noise,std,0.000,3,0.000,7,-0.000,0.914,0.014,3,0.004,8,-0.010,0.725,0.602,5,0.971,7,0.368,0.926,0.298,3,0.940,7,0.641,0.914
linear_trend_slope,linear_trend,slope,0.422,8,0.295,3,-0.127,0.301,0.476,8,0.383,3,-0.094,0.197,0.827,8,0.885,3,0.058,0.334,0.683,8,0.779,3,0.095,0.301
linear_trend_intercept,linear_trend,intercept,0.050,8,0.042,4,-0.008,0.165,0.175,4,0.157,4,-0.018,0.104,0.637,8,0.710,4,0.073,0.202,0.405,8,0.503,4,0.098,0.165
quadratic_trend_a,quadratic_trend,a,2.481,8,0.952,3,-1.529,0.616,1.238,8,0.678,3,-0.560,0.452,0.731,8,0.906,3,0.175,0.650,0.532,8,0.820,3,0.288,0.616
quadratic_trend_b,quadratic_trend,slope,0.525,8,0.345,3,-0.180,0.344,0.545,8,0.420,3,-0.125,0.230,0.780,8,0.862,3,0.082,0.375,0.608,8,0.743,3,0.135,0.344
quadratic_trend_c,quadratic_trend,intercept,0.051,8,0.044,4,-0.007,0.130,0.180,5,0.162,4,-0.018,0.102,0.623,8,0.684,4,0.061,0.163,0.386,8,0.466,4,0.080,0.130
log_trend_amplitude,log_trend,amplitude,0.231,8,0.037,5,-0.195,0.842,0.380,4,0.147,5,-0.233,0.614,0.922,8,0.989,4,0.067,0.858,0.839,8,0.975,5,0.135,0.842
log_trend_offset,log_trend,offset,0.082,0,0.063,5,-0.019,0.228,0.242,0,0.206,5,-0.036,0.148,0.368,8,0.531,5,0.163,0.258,0.053,0,0.269,5,0.216,0.228
sigmoid_trend_amplitude,sigmoid_trend,amplitude,0.481,8,0.298,3,-0.183,0.380,0.498,7,0.380,3,-0.118,0.237,0.801,8,0.881,3,0.080,0.404,0.640,8,0.777,3,0.137,0.380
sigmoid_trend_center,sigmoid_trend,center,0.027,8,0.023,3,-0.005,0.167,0.138,8,0.122,3,-0.016,0.119,0.321,8,0.501,3,0.181,0.266,0.091,8,0.243,3,0.152,0.167
sigmoid_trend_sharpness,sigmoid_trend,sharpness,18.893,6,17.588,3,-1.305,0.069,3.757,6,3.584,3,-0.173,0.046,0.060,6,0.262,3,0.202,0.215,-0.000,6,0.069,3,0.069,0.069
sigmoid_trend_offset,sigmoid_trend,offset,0.052,8,0.044,3,-0.008,0.160,0.185,8,0.166,3,-0.019,0.103,0.608,8,0.685,3,0.077,0.197,0.367,8,0.468,3,0.101,0.160
sine_amplitude,sine,amplitude,0.024,8,0.005,4,-0.020,0.812,0.115,8,0.040,4,-0.075,0.651,0.845,8,0.973,4,0.128,0.824,0.709,8,0.945,4,0.236,0.812
sine_frequency_hz,sine,frequency_hz,1.026,8,0.083,3,-0.944,0.919,0.760,8,0.179,3,-0.581,0.764,0.796,8,0.985,3,0.189,0.928,0.633,8,0.970,3,0.338,0.919
sine_phase,sine,phase,2.277,8,2.009,3,-0.269,0.118,1.171,8,1.055,3,-0.116,0.099,0.558,8,0.627,3,0.068,0.155,0.311,8,0.392,3,0.081,0.118
sine_offset,sine,offset,0.012,6,0.012,2,-0.000,0.031,0.090,5,0.089,2,-0.001,0.011,0.359,5,0.384,2,0.024,0.038,0.108,6,0.136,2,0.028,0.031
sawtooth_amplitude,sawtooth,amplitude,0.027,8,0.002,4,-0.026,0.940,0.124,8,0.026,4,-0.098,0.790,0.821,8,0.991,3,0.169,0.949,0.674,8,0.981,4,0.307,0.940
sawtooth_frequency_hz,sawtooth,frequency_hz,1.314,8,0.031,4,-1.283,0.976,0.885,8,0.099,4,-0.785,0.888,0.733,8,0.994,4,0.261,0.979,0.530,8,0.989,4,0.459,0.976
sawtooth_phase,sawtooth,phase,2.316,8,1.485,3,-0.832,0.359,1.246,8,0.954,3,-0.292,0.235,0.549,8,0.745,3,0.196,0.435,0.300,8,0.552,3,0.251,0.359
sawtooth_offset,sawtooth,offset,0.011,6,0.012,5,0.000,-0.028,0.089,6,0.089,4,-0.000,0.002,0.383,6,0.376,3,-0.007,-0.012,0.143,6,0.119,5,-0.024,-0.028
square_amplitude,square,amplitude,0.077,6,0.011,7,-0.067,0.861,0.224,6,0.077,7,-0.148,0.659,0.549,7,0.944,6,0.396,0.877,0.113,6,0.877,7,0.764,0.861
square_frequency_hz,square,frequency_hz,2.031,7,0.196,5,-1.835,0.903,1.167,7,0.293,5,-0.874,0.749,0.591,7,0.969,5,0.378,0.924,0.328,7,0.935,5,0.607,0.903
square_phase,square,phase,2.993,8,2.911,2,-0.082,0.027,1.466,8,1.375,2,-0.091,0.062,0.332,8,0.331,2,-0.001,-0.001,0.052,8,0.078,2,0.026,0.027
square_offset,square,offset,0.022,0,0.012,6,-0.010,0.441,0.116,1,0.097,6,-0.019,0.168,0.207,1,0.095,2,-0.113,-0.142,-0.843,0,-0.030,6,0.814,0.441
square_duty_cycle,square,duty_cycle,0.044,1,0.016,6,-0.027,0.627,0.157,1,0.096,6,-0.061,0.387,0.588,4,0.829,6,0.240,0.584,0.149,1,0.682,6,0.533,0.627
