signal,auroc_step0_best,auroc_step0_layer,auroc_step20000_best,auroc_step20000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step20000_best,auprc_step20000_layer,auprc_delta,auprc_delta_norm0
constant,0.806,8,0.895,4,0.089,0.459,0.561,4,0.715,4,0.154,0.351
gaussian_noise,0.879,8,0.977,6,0.098,0.812,0.450,4,0.921,6,0.472,0.857
uniform_noise,0.890,7,0.982,6,0.092,0.836,0.527,3,0.920,6,0.393,0.832
random_walk_noise,0.983,8,1.000,5,0.017,0.992,0.931,8,0.999,5,0.068,0.991
linear_trend,0.799,7,0.865,6,0.067,0.331,0.474,3,0.608,6,0.134,0.255
quadratic_trend,0.817,8,0.896,7,0.079,0.431,0.561,8,0.696,5,0.135,0.308
log_trend,0.969,7,0.988,4,0.018,0.595,0.930,7,0.971,4,0.041,0.587
sigmoid_trend,0.834,7,0.907,4,0.073,0.440,0.528,7,0.762,5,0.234,0.496
sine,0.889,8,0.996,7,0.107,0.965,0.475,6,0.986,7,0.511,0.974
sawtooth,0.894,8,0.993,3,0.099,0.930,0.488,7,0.972,3,0.483,0.945
square,0.932,8,0.995,2,0.062,0.921,0.750,8,0.979,3,0.230,0.918
spike,0.786,6,0.843,6,0.058,0.268,0.431,8,0.475,5,0.044,0.078
level_change,0.815,3,0.869,4,0.054,0.293,0.546,7,0.683,4,0.138,0.303
gaussian,0.783,7,0.846,7,0.063,0.289,0.436,7,0.481,7,0.045,0.081
