signal,auroc_step0_best,auroc_step0_layer,auroc_step88000_best,auroc_step88000_layer,auroc_delta,auroc_delta_norm0,auprc_step0_best,auprc_step0_layer,auprc_step88000_best,auprc_step88000_layer,auprc_delta,auprc_delta_norm0
constant,0.806,8,0.914,4,0.108,0.558,0.561,4,0.752,3,0.191,0.435
gaussian_noise,0.879,8,0.987,7,0.109,0.896,0.450,4,0.948,7,0.498,0.905
uniform_noise,0.890,7,0.989,6,0.098,0.896,0.527,3,0.945,7,0.418,0.885
random_walk_noise,0.983,8,1.000,6,0.017,0.999,0.931,8,1.000,6,0.069,0.998
linear_trend,0.799,7,0.881,7,0.083,0.410,0.474,3,0.638,5,0.164,0.311
quadratic_trend,0.817,8,0.916,4,0.099,0.541,0.561,8,0.747,4,0.186,0.424
log_trend,0.969,7,0.991,4,0.021,0.693,0.930,7,0.976,4,0.046,0.662
sigmoid_trend,0.834,7,0.917,4,0.083,0.498,0.528,7,0.784,4,0.256,0.543
sine,0.889,8,0.998,5,0.109,0.982,0.475,6,0.993,5,0.517,0.986
sawtooth,0.894,8,0.997,7,0.103,0.973,0.488,7,0.988,3,0.500,0.976
square,0.932,8,0.998,2,0.066,0.976,0.750,8,0.995,2,0.245,0.979
spike,0.786,6,0.859,4,0.073,0.341,0.431,8,0.497,4,0.067,0.117
level_change,0.815,3,0.881,6,0.066,0.355,0.546,7,0.706,3,0.161,0.354
gaussian,0.783,7,0.856,5,0.073,0.336,0.436,7,0.504,4,0.069,0.122
