target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step88000_best,mse_step88000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step88000_best,mae_step88000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step88000_best,pearson_step88000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step88000_best,r2_step88000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,6,0.038,8,-0.003,0.080,0.176,6,0.161,8,-0.015,0.084,0.007,0,0.315,8,0.309,0.311,-0.014,6,0.067,8,0.081,0.080
spike_amplitude,spike,magnitude,0.013,0,0.014,0,0.001,-0.060,0.100,0,0.102,0,0.002,-0.019,0.001,6,0.014,5,0.013,0.013,-0.020,0,-0.082,0,-0.062,-0.060
level_change_time_frac,level_change,time_frac,0.032,6,0.023,4,-0.009,0.269,0.144,8,0.115,4,-0.029,0.201,0.459,8,0.665,4,0.207,0.382,0.203,6,0.417,4,0.215,0.269
level_change_amplitude,level_change,magnitude,0.143,5,0.078,3,-0.066,0.458,0.287,4,0.203,3,-0.084,0.292,0.754,6,0.876,3,0.122,0.496,0.567,5,0.765,3,0.199,0.458
gaussian_time_frac,gaussian,time_frac,0.041,3,0.039,8,-0.003,0.064,0.175,7,0.162,8,-0.013,0.073,0.018,6,0.289,8,0.271,0.276,-0.013,3,0.051,8,0.064,0.064
gaussian_amplitude,gaussian,magnitude,0.332,3,0.314,2,-0.018,0.054,0.499,3,0.473,2,-0.026,0.052,0.027,1,0.246,2,0.219,0.225,-0.004,3,0.050,2,0.054,0.054
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.134,0.013,0,0.014,0,0.001,-0.046,0.021,4,0.009,4,-0.012,-0.012,-0.128,0,-0.279,0,-0.151,-0.134
gaussian_noise_std,gaussian_noise,std,0.001,1,0.000,8,-0.000,0.606,0.019,1,0.013,8,-0.006,0.337,0.724,1,0.914,8,0.190,0.687,0.523,1,0.812,8,0.289,0.606
uniform_noise_amplitude,uniform_noise,std,0.001,8,0.001,4,-0.001,0.510,0.027,4,0.020,1,-0.007,0.266,0.745,6,0.905,8,0.160,0.627,0.551,8,0.780,4,0.229,0.510
random_walk_step_std,random_walk_noise,std,0.000,1,0.000,7,-0.000,0.532,0.010,1,0.006,7,-0.004,0.372,0.800,6,0.920,7,0.121,0.603,0.621,1,0.822,7,0.202,0.532
linear_trend_slope,linear_trend,slope,0.400,7,0.214,2,-0.185,0.464,0.478,7,0.323,2,-0.155,0.325,0.838,7,0.917,2,0.079,0.487,0.701,7,0.840,2,0.139,0.464
linear_trend_intercept,linear_trend,intercept,0.047,7,0.039,2,-0.008,0.164,0.166,3,0.145,2,-0.021,0.126,0.668,6,0.741,2,0.073,0.221,0.440,7,0.532,2,0.092,0.164
quadratic_trend_a,quadratic_trend,a,2.856,8,0.840,4,-2.016,0.706,1.349,8,0.663,4,-0.686,0.509,0.681,8,0.918,3,0.237,0.743,0.463,8,0.842,4,0.379,0.706
