target,target_signal,target_metric,mse_step0_best,mse_step0_layer,mse_step20000_best,mse_step20000_layer,mse_delta,mse_delta_norm0,mae_step0_best,mae_step0_layer,mae_step20000_best,mae_step20000_layer,mae_delta,mae_delta_norm0,pearson_step0_best,pearson_step0_layer,pearson_step20000_best,pearson_step20000_layer,pearson_delta,pearson_delta_norm0,r2_step0_best,r2_step0_layer,r2_step20000_best,r2_step20000_layer,r2_delta,r2_delta_norm0
spike_time_frac,spike,time_frac,0.041,6,0.038,8,-0.003,0.077,0.176,6,0.160,8,-0.015,0.087,0.007,0,0.301,8,0.294,0.296,-0.014,6,0.064,8,0.078,0.077
spike_amplitude,spike,magnitude,0.013,0,0.014,0,0.001,-0.038,0.100,0,0.101,0,0.001,-0.012,0.001,6,0.015,8,0.014,0.014,-0.020,0,-0.059,0,-0.039,-0.038
level_change_time_frac,level_change,time_frac,0.032,6,0.025,5,-0.007,0.212,0.144,8,0.121,5,-0.023,0.159,0.459,8,0.638,5,0.179,0.331,0.203,6,0.371,5,0.169,0.212
level_change_amplitude,level_change,magnitude,0.143,5,0.073,3,-0.070,0.490,0.287,4,0.197,3,-0.090,0.312,0.754,6,0.884,3,0.130,0.529,0.567,5,0.779,3,0.213,0.490
gaussian_time_frac,gaussian,time_frac,0.041,3,0.038,8,-0.003,0.072,0.175,7,0.159,8,-0.017,0.094,0.018,6,0.293,8,0.274,0.279,-0.013,3,0.060,8,0.073,0.072
gaussian_amplitude,gaussian,magnitude,0.332,3,0.324,8,-0.008,0.025,0.499,3,0.487,8,-0.012,0.024,0.027,1,0.181,5,0.154,0.158,-0.004,3,0.021,8,0.025,0.025
gaussian_sigma_sec,gaussian,sigma_sec,0.000,0,0.000,0,0.000,-0.120,0.013,0,0.014,0,0.000,-0.036,0.021,4,0.020,8,-0.001,-0.001,-0.128,0,-0.263,0,-0.135,-0.120
gaussian_noise_std,gaussian_noise,std,0.001,1,0.000,1,-0.000,0.364,0.019,1,0.014,1,-0.005,0.269,0.724,1,0.842,6,0.118,0.428,0.523,1,0.697,1,0.173,0.364
uniform_noise_amplitude,uniform_noise,std,0.001,8,0.001,8,-0.001,0.536,0.027,4,0.020,8,-0.007,0.275,0.745,6,0.892,8,0.147,0.577,0.551,8,0.792,8,0.241,0.536
random_walk_step_std,random_walk_noise,std,0.000,1,0.000,8,-0.000,0.232,0.010,1,0.008,8,-0.002,0.201,0.800,6,0.915,8,0.115,0.575,0.621,1,0.709,8,0.088,0.232
linear_trend_slope,linear_trend,slope,0.400,7,0.207,4,-0.193,0.483,0.478,7,0.326,3,-0.152,0.318,0.838,7,0.923,4,0.085,0.524,0.701,7,0.846,4,0.144,0.483
linear_trend_intercept,linear_trend,intercept,0.047,7,0.038,2,-0.009,0.200,0.166,3,0.144,2,-0.022,0.134,0.668,6,0.748,2,0.080,0.242,0.440,7,0.552,2,0.112,0.200
quadratic_trend_a,quadratic_trend,a,2.856,8,0.911,4,-1.945,0.681,1.349,8,0.709,6,-0.640,0.474,0.681,8,0.914,4,0.233,0.731,0.463,8,0.829,4,0.366,0.681
quadratic_trend_b,quadratic_trend,slope,0.562,7,0.310,4,-0.253,0.449,0.579,7,0.394,2,-0.185,0.319,0.762,8,0.878,4,0.116,0.488,0.577,7,0.767,4,0.190,0.449
quadratic_trend_c,quadratic_trend,intercept,0.049,4,0.043,4,-0.007,0.133,0.173,3,0.159,4,-0.015,0.086,0.642,4,0.701,4,0.058,0.164,0.410,4,0.488,4,0.078,0.133
log_trend_amplitude,log_trend,amplitude,0.089,8,0.040,2,-0.049,0.550,0.220,8,0.154,2,-0.067,0.302,0.966,7,0.985,2,0.019,0.559,0.933,8,0.970,2,0.037,0.550
