model,dataset,metric,threshold_pct,step_median,step_std,n_seeds,seed_0_step,seed_1_step,seed_2_step,seed_3_step,seed_4_step
LeNEPA T20,PTB-XL,AUROC,80.0,2000,447.21359549995793,5,2000,2000,2000,3000,2000
LeNEPA T20,PTB-XL,AUROC,85.0,2000,894.4271909999159,5,2000,4000,2000,3000,2000
LeNEPA T20,PTB-XL,AUROC,90.0,3000,1673.320053068151,5,2000,6000,2000,4000,3000
LeNEPA T20,PTB-XL,AUROC,95.0,6000,2345.207879911715,5,2000,7000,6000,7000,3000
LeNEPA T20,PTB-XL,AUROC,98.0,8000,4086.56334834051,5,2000,8000,10000,11000,3000
LeNEPA T20,PTB-XL,AUPRC,80.0,2000,547.7225575051662,5,3000,3000,2000,2000,2000
LeNEPA T20,PTB-XL,AUPRC,85.0,2000,547.7225575051662,5,3000,3000,2000,2000,2000
LeNEPA T20,PTB-XL,AUPRC,90.0,3000,707.1067811865476,5,4000,3000,2000,3000,3000
LeNEPA T20,PTB-XL,AUPRC,95.0,4000,1000.0,5,5000,4000,3000,5000,3000
LeNEPA T20,PTB-XL,AUPRC,98.0,4000,1000.0,5,5000,4000,3000,5000,3000
JEPA CLS,PTB-XL,AUROC,80.0,5000,1140.175425099138,5,7000,5000,4000,6000,5000
JEPA CLS,PTB-XL,AUROC,85.0,7000,1483.2396974191327,5,9000,7000,5000,7000,6000
JEPA CLS,PTB-XL,AUROC,90.0,8000,2280.350850198276,5,12000,8000,6000,8000,7000
JEPA CLS,PTB-XL,AUROC,95.0,10000,2302.1728866442677,5,13000,10000,10000,8000,7000
JEPA CLS,PTB-XL,AUROC,98.0,14000,3435.1128074635335,5,18000,15000,14000,10000,10000
JEPA CLS,PTB-XL,AUPRC,80.0,6000,1923.5384061671346,5,10000,6000,5000,7000,6000
JEPA CLS,PTB-XL,AUPRC,85.0,6000,2607.6809620810595,5,12000,6000,6000,8000,6000
JEPA CLS,PTB-XL,AUPRC,90.0,8000,2387.4672772626645,5,13000,10000,8000,8000,7000
JEPA CLS,PTB-XL,AUPRC,95.0,13000,2588.435821108957,5,14000,15000,9000,10000,13000
JEPA CLS,PTB-XL,AUPRC,98.0,16000,3492.849839314596,5,16000,16000,10000,10000,17000
JEPA Mean,PTB-XL,AUROC,80.0,5000,836.6600265340755,5,5000,4000,6000,6000,5000
JEPA Mean,PTB-XL,AUROC,85.0,7000,894.4271909999159,5,7000,5000,7000,7000,6000
JEPA Mean,PTB-XL,AUROC,90.0,8000,0.0,5,8000,8000,8000,8000,8000
JEPA Mean,PTB-XL,AUROC,95.0,10000,1483.2396974191327,5,10000,12000,11000,10000,8000
JEPA Mean,PTB-XL,AUROC,98.0,11000,2345.207879911715,5,10000,15000,14000,11000,10000
JEPA Mean,PTB-XL,AUPRC,80.0,6000,894.4271909999159,5,7000,6000,6000,6000,8000
JEPA Mean,PTB-XL,AUPRC,85.0,8000,1643.1676725154985,5,8000,11000,7000,7000,8000
JEPA Mean,PTB-XL,AUPRC,90.0,9000,3535.5339059327375,5,8000,16000,9000,7000,10000
JEPA Mean,PTB-XL,AUPRC,95.0,12000,2302.1728866442677,5,12000,16000,10000,11000,13000
